time,R0,C1,C2,P1,P2
74,0.945828689,0.026659883,0.641053485,2.39E-06,0.010066763
75,0.93581026,0.052640184,0.942503029,1.62E-06,0.013151844
76,0.774519351,0.099854008,1.341072352,1.21E-06,0.018717659
77,0.491802357,0.16892681,1.73815904,1.03E-06,0.028385529
78,0.110231118,0.194735311,1.64974078,9.69E-07,0.044135237
79,0.023123348,0.117108586,0.91568202,8.61E-07,0.064244696
80,0.090405773,0.068849258,0.482932606,6.64E-07,0.080459593
81,0.784030431,0.083571806,0.442176648,4.90E-07,0.090805848
82,0.992153238,0.164158673,0.592165851,4.03E-07,0.106791904
83,0.879901076,0.321448797,0.78793875,4.06E-07,0.135299154
84,0.663899856,0.587773143,0.980340506,5.20E-07,0.182390676
85,0.282396767,0.873370511,1.002910755,8.19E-07,0.253948015
86,0.033043715,0.676506322,0.556978031,1.34E-06,0.3336673
87,0.04757017,0.379153086,0.196884025,1.82E-06,0.354239224
88,0.511892126,0.349043135,0.092558276,2.09E-06,0.307156493
89,0.957250381,0.649342889,0.080766804,2.75E-06,0.250710339
90,0.752968367,1.238675082,0.078451894,4.66E-06,0.203063058
91,0.227920073,1.871034261,0.068042102,9.52E-06,0.163377489
92,0.005071995,1.156378474,0.030494251,1.94E-05,0.126030177
93,0.004193115,0.557551176,0.011840327,3.15E-05,0.092268176
94,0.050339334,0.289299868,0.005152289,3.87E-05,0.066047037
95,0.771461643,0.316556542,0.004258259,4.14E-05,0.04694365
96,1.009038749,0.626220894,0.005841322,5.32E-05,0.03340897
97,0.797635268,1.214760548,0.008073053,8.92E-05,0.023868692
98,0.284736467,1.925949075,0.00964989,0.000182161,0.017125167
99,0.005398412,1.265570987,0.005765971,0.000378936,0.012261753
100,0.002981056,0.608108494,0.002704848,0.000635632,0.008710391
101,0.029813561,0.304535247,0.001320202,0.000805301,0.006161182
102,0.612595925,0.280439184,0.00105407,0.000849783,0.004350803
103,1.030362253,0.543312185,0.001530828,0.001034736,0.003073444
104,0.860537013,1.068667735,0.002255212,0.001649,0.002173793
105,0.425730732,1.825641171,0.00297314,0.003263852,0.001539864
106,0.011232278,1.468871361,0.002150583,0.006926545,0.00109104
107,0.002597374,0.703969982,0.001034182,0.012263921,0.000771134
108,0.017712016,0.337819654,0.000503535,0.016361623,0.000544152
109,0.424505066,0.252136648,0.000352486,0.017347253,0.000383719
110,1.04524248,0.452779057,0.000498144,0.019876939,0.000270595
111,0.931343292,0.875800563,0.000746235,0.029414617,0.0001909
112,0.619065061,1.549814032,0.001044735,0.054760566,0.000134753
113,0.07611021,1.759223818,0.001040994,0.115788374,9.52E-05
114,0.006675665,0.79536895,0.000538946,0.218193025,6.72E-05
115,0.048569078,0.267424489,0.000274778,0.286903394,4.74E-05
116,0.862852184,0.156091161,0.000259976,0.268429259,3.34E-05
117,1.144055992,0.172931438,0.000396628,0.240920508,2.35E-05
118,1.136927484,0.210184488,0.000614444,0.226947325,1.66E-05
119,1.119663732,0.26673916,0.000949152,0.230062638,1.17E-05
120,1.095536269,0.34124497,0.001459414,0.254923153,8.27E-06
121,1.0669798,0.421757638,0.002230164,0.308939583,5.85E-06
122,1.04332139,0.475628045,0.003385696,0.40073247,4.15E-06
123,1.043606766,0.449484034,0.005122754,0.528313855,2.95E-06
124,1.083241231,0.314627068,0.007788658,0.644769371,2.10E-06
125,1.139221452,0.152795661,0.011985777,0.644499611,1.51E-06
126,1.171080889,0.067828031,0.018630472,0.513187628,1.10E-06
127,1.180096879,0.040395167,0.02907521,0.361088506,8.08E-07
128,1.179160968,0.034859028,0.045407118,0.24417034,6.10E-07
129,1.172384364,0.040165442,0.070855499,0.165195979,4.77E-07
130,1.159059336,0.056258592,0.110340015,0.114977769,3.92E-07
131,1.135606851,0.089076911,0.171174843,0.085013358,3.44E-07
132,1.094816132,0.151234566,0.26373216,0.069747405,3.28E-07
133,1.023109347,0.264232606,0.401171978,0.066901974,3.46E-07
134,0.894704064,0.456147454,0.594840941,0.078311362,4.02E-07
135,0.659908973,0.730038762,0.831719009,0.112341869,5.14E-07
136,0.258760162,0.897522596,0.969058614,0.18581982,6.99E-07
137,0.037198224,0.494208747,0.666951049,0.289681944,9.31E-07
138,0.097641736,0.159096152,0.386481961,0.31479755,1.09E-06
139,0.816438422,0.09376103,0.397137869,0.256216665,1.18E-06
140,1.014543471,0.10090232,0.590644399,0.200865737,1.37E-06
141,0.927454208,0.124649622,0.878727327,0.163078603,1.76E-06
142,0.77103984,0.161904805,1.259558262,0.140941042,2.46E-06
143,0.508476992,0.200245722,1.656175063,0.131030309,3.70E-06
144,0.146492286,0.1820937,1.671190592,0.125554615,5.72E-06
145,0.03200192,0.088387636,1.023231363,0.106650437,8.44E-06
146,0.095447948,0.041399645,0.592006545,0.076796664,1.10E-05
147,0.727134806,0.040788395,0.585941982,0.052112195,1.32E-05
148,0.946904007,0.069303236,0.853078221,0.036849337,1.68E-05
149,0.807201322,0.121678327,1.235380013,0.028711654,2.35E-05
150,0.541440388,0.197875839,1.653127278,0.025559148,3.51E-05
151,0.142358103,0.232987703,1.695799121,0.025497525,5.44E-05
152,0.020287993,0.136668723,0.99797127,0.023901759,8.03E-05
153,0.051243543,0.071018214,0.532659814,0.018866144,0.000102984
154,0.562955042,0.065410903,0.445280125,0.013670193,0.0001177
155,0.984165023,0.119729764,0.638017329,0.010533725,0.000139575
156,0.871889365,0.228634555,0.939074044,0.00954193,0.000182264
157,0.626080938,0.405591393,1.29873869,0.010656181,0.000258621
158,0.19531269,0.548585017,1.445763504,0.01429099,0.000385844
159,0.015509393,0.345856803,0.879422422,0.018675988,0.000553945
160,0.023627354,0.171208721,0.445559948,0.019160794,0.000685564
161,0.301315136,0.119295052,0.29749273,0.016300959,0.000731454
162,0.991335577,0.198461845,0.396069168,0.014269183,0.00077335
163,0.927464745,0.382092978,0.589228748,0.015311364,0.000897694
164,0.697134829,0.693418366,0.834547267,0.020972332,0.001145597
165,0.24610849,0.995844565,0.983174597,0.034991608,0.001562808
166,0.013264288,0.636718292,0.617603321,0.058185856,0.002069224
167,0.015449071,0.285193495,0.306290805,0.073907931,0.002338898
168,0.218476402,0.157713926,0.187116847,0.07107342,0.002269049
169,1.005573968,0.220021398,0.238153026,0.065465283,0.002142614
170,0.992251851,0.386576099,0.357708101,0.0716503,0.002195913
171,0.834205015,0.659322285,0.522318423,0.097267918,0.002479885
172,0.539198284,0.993863346,0.701423247,0.159478743,0.003054671
173,0.128743498,0.962450843,0.70209577,0.285256108,0.003935044
174,0.04838516,0.372199781,0.425884992,0.423698547,0.00473539
175,0.416120592,0.11858238,0.318649186,0.409392725,0.005061511
176,1.033608389,0.08138515,0.442634449,0.320231515,0.005483443
177,1.008264631,0.075872031,0.664460734,0.240601303,0.006552166
178,0.910697419,0.083923797,0.979302165,0.181481039,0.008640256
179,0.747029396,0.102138676,1.385263527,0.141228888,0.012391038
180,0.474788699,0.122064634,1.78055041,0.114969268,0.018890813
181,0.124029937,0.107794279,1.705033103,0.095096158,0.029495876
182,0.033435334,0.05437272,1.000566208,0.071878062,0.043471448
183,0.128676713,0.029016164,0.576555586,0.048935976,0.056166621
184,0.8285625,0.034384269,0.590193737,0.032425824,0.067386288
185,0.962549202,0.062263131,0.816388347,0.022534336,0.085586034
186,0.849067349,0.114201128,1.111932168,0.01725857,0.117396004
187,0.659960034,0.198777075,1.418887746,0.015219839,0.171182125
188,0.376991733,0.297893637,1.558080337,0.0157059,0.258705297
189,0.12216254,0.302437418,1.17456995,0.017651383,0.385674247
190,0.145816841,0.225266605,0.581777762,0.018512631,0.512994528
191,0.749822617,0.279309893,0.335681779,0.01873112,0.577249738
192,0.96065079,0.521200137,0.228502747,0.022662522,0.585001898
193,0.829443862,0.971169265,0.143532366,0.035182565,0.541172671
194,0.488919007,1.606411103,0.083155303,0.067149239,0.458663412
195,0.040865556,1.482953744,0.03378604,0.139862918,0.358992602
196,0.012391931,0.622368921,0.009397125,0.244701985,0.262483485
197,0.169312254,0.226556496,0.003472434,0.293258588,0.187067978
198,1.066307079,0.185846559,0.003147763,0.277442624,0.132639355
199,1.135067423,0.207159646,0.00387216,0.263697013,0.094114593
200,1.125224883,0.241337279,0.005097419,0.262034825,0.066908244
201,1.110682348,0.285282642,0.00701072,0.275673893,0.047713292
202,1.094039556,0.331490523,0.009928688,0.307863549,0.03418543
203,1.079895734,0.363949154,0.014337992,0.360703486,0.024666203
204,1.076058873,0.359376889,0.020998273,0.430063859,0.01798459
205,1.089273912,0.302186191,0.031140227,0.495515685,0.013316652
206,1.11517992,0.21106713,0.046777616,0.517181135,0.010086712
207,1.137320615,0.132980243,0.071071175,0.469598604,0.007897399
208,1.144737601,0.090624992,0.108764436,0.379055633,0.006480886
209,1.137454869,0.075774206,0.166891281,0.28761929,0.005668634
210,1.116225804,0.078655996,0.255744279,0.21540456,0.005378121
211,1.077608077,0.096801834,0.389738199,0.165344534,0.005616115
212,1.012876422,0.133226271,0.587113439,0.134698701,0.006502286
213,0.905731085,0.193512591,0.86499668,0.12055603,0.008321453
214,0.726943651,0.277921527,1.218052211,0.121650174,0.01161157
215,0.429955677,0.352058503,1.536374228,0.137563686,0.017249554
216,0.096273155,0.282146234,1.37692514,0.158610828,0.026090231
217,0.042645797,0.122088241,0.795111484,0.150127127,0.036625238
218,0.247414627,0.062909008,0.518938444,0.11463757,0.045217012
219,0.926185886,0.076875982,0.624277854,0.083774658,0.054180443
220,0.924410798,0.123860257,0.87723827,0.065995939,0.06995243
221,0.776039734,0.201810042,1.19118018,0.058909614,0.097514867
222,0.532373762,0.304684805,1.477428068,0.061019065,0.143890551
223,0.203198003,0.350646511,1.436501408,0.070675043,0.217187511
224,0.07035835,0.233757932,0.855860037,0.077921131,0.310278499
225,0.277909098,0.157982735,0.449563443,0.072732748,0.381355564
226,0.953222778,0.221864701,0.366619796,0.067299806,0.420629916
227,0.987547512,0.384446739,0.324901119,0.073656049,0.449171852
228,0.903979672,0.660576844,0.268099948,0.099818543,0.462162601
229,0.740787633,1.063430972,0.202234465,0.165236857,0.450586565
230,0.462038664,1.429603784,0.134901871,0.314953845,0.409864685
231,0.20530878,1.178204601,0.071723505,0.617509377,0.34292405
232,0.511841934,0.473014785,0.039061872,0.992708889,0.265717822
233,1.125572784,0.091837396,0.036225929,1.002825593,0.200644889
234,1.183093363,0.015766094,0.040544676,0.685387773,0.15188991
235,1.186388609,0.005944724,0.049460263,0.428127364,0.116298162
236,1.183929346,0.004274426,0.064095222,0.263634786,0.090796166
237,1.178804915,0.004643286,0.086724041,0.162080554,0.0729828
238,1.170517416,0.006501019,0.120928064,0.099987705,0.061119688
239,1.157563845,0.010612717,0.172015304,0.062237363,0.054069312
240,1.137358064,0.018971797,0.247528405,0.039456797,0.051266972
241,1.105596261,0.035675683,0.357598042,0.025920225,0.052770063
242,1.055002338,0.068642932,0.514437774,0.01818691,0.059429436
243,0.972884042,0.132082942,0.728971192,0.014285848,0.073241764
244,0.836133063,0.247417002,0.998739691,0.013296348,0.0979317
245,0.601442484,0.428461423,1.268050658,0.015228877,0.139589808
246,0.228950464,0.579170488,1.291767947,0.020818857,0.205368369
247,0.039793988,0.412977699,0.741635776,0.028457501,0.286335193
248,0.10223642,0.241110311,0.314215172,0.031875221,0.332264353
249,0.801166688,0.281177161,0.205153379,0.032502802,0.325386239
250,0.983625009,0.518833831,0.191584692,0.039360687,0.305540992
251,0.831838001,0.944706486,0.181306739,0.060752298,0.283738188
252,0.497473147,1.513546771,0.160535816,0.114355554,0.259438203
253,0.062064235,1.399882452,0.097331784,0.233796411,0.226404359
254,0.029251177,0.538553089,0.036421287,0.396527721,0.178390189
255,0.469322506,0.184449757,0.019718522,0.440337333,0.1319877
256,1.135967196,0.126862647,0.022887286,0.385762618,0.096837418
257,1.159028395,0.106559266,0.030249669,0.315467707,0.071779291
258,1.158037581,0.105605365,0.041787271,0.252365753,0.054105092
259,1.149890705,0.121933536,0.05945447,0.20523434,0.041805714
260,1.133304696,0.158186632,0.086204441,0.175939402,0.03346218
261,1.104699727,0.221168971,0.126260805,0.1648234,0.028108068
262,1.058154002,0.319647262,0.185257198,0.174245118,0.025137284
263,0.985976442,0.45666317,0.269725577,0.21162054,0.024253928
264,0.883048559,0.608863062,0.384872143,0.29274751,0.025459029
265,0.762927663,0.692166041,0.530024034,0.441497594,0.029068191
266,0.690305262,0.571949728,0.700287053,0.662303456,0.035788855
267,0.740650473,0.263118785,0.91812715,0.829025708,0.047091651
268,0.77396863,0.066186261,1.230460889,0.715574189,0.066137701
269,0.652194072,0.019818559,1.608202099,0.48414802,0.098601551
270,0.409162753,0.009234295,1.877292868,0.30617842,0.153167958
271,0.15290433,0.004835092,1.63668444,0.189725792,0.239134415
272,0.123460427,0.002382801,0.99011292,0.116308387,0.350096092
273,0.604100019,0.002021261,0.685698505,0.070987331,0.459701705
274,1.006069779,0.003206508,0.62519086,0.043391432,0.575816246
275,1.05152124,0.005803223,0.516880526,0.026677592,0.698758885
276,1.09607109,0.011094038,0.348581921,0.016596324,0.788812285
277,1.139372269,0.022044397,0.185281655,0.010572089,0.786847814
278,1.162472158,0.044895093,0.087141081,0.007058465,0.682844821
279,1.162577545,0.092540882,0.045074611,0.005151789,0.5387478
280,1.140566036,0.19120148,0.028715175,0.004387413,0.406113936
281,1.084805724,0.392098822,0.022449888,0.004698814,0.300365562
282,0.959675309,0.784301742,0.020478342,0.006613965,0.220578544
283,0.672511926,1.455414881,0.020111375,0.01194378,0.161694014
284,0.102011752,1.867686057,0.016264314,0.025162173,0.118238445
285,0.003609315,0.969193771,0.006951284,0.049383903,0.085183304
286,0.00840597,0.430168172,0.00289868,0.073827535,0.060579712
287,0.185943339,0.224167708,0.001516618,0.081349404,0.042861475
288,1.039598425,0.303650668,0.001779131,0.083602065,0.030296135
289,1.043236444,0.526758141,0.002571629,0.103267843,0.021439638
290,0.916116856,0.884376926,0.003697717,0.157881504,0.015201401
291,0.692756207,1.328736175,0.005085271,0.287229841,0.010805818
292,0.390603214,1.489630029,0.006155607,0.573461482,0.007701363
293,0.369956676,0.860417614,0.006270393,1.078101961,0.005494661
294,1.046484663,0.155231766,0.008216607,1.367869287,0.003926122
295,1.189918333,0.010497367,0.012663654,0.958759178,0.002823362
296,1.194787714,0.001981833,0.019737765,0.590041242,0.002052688
297,1.192863053,0.000947708,0.030805939,0.359301126,0.001517525
298,1.18909078,0.000809989,0.04809761,0.218462283,0.001150281
299,1.183016374,0.000985794,0.075069924,0.13284206,0.000904326
300,1.173402485,0.001485396,0.117035148,0.080862551,0.000748527
301,1.158200965,0.002542987,0.182053434,0.049339414,0.000663948
302,1.134094814,0.00468906,0.282090953,0.030252249,0.000642527
303,1.095660767,0.008995918,0.434212896,0.018730454,0.000687963
304,1.033845475,0.017515148,0.660802325,0.011819623,0.000819602
305,0.932998644,0.033828025,0.985286149,0.007729919,0.001080838
306,0.764528561,0.06278402,1.411160144,0.005377457,0.001554002
307,0.475204604,0.103942935,1.835320775,0.004092185,0.002379883
308,0.098269934,0.115111217,1.725091858,0.00335452,0.003732917
309,0.021149137,0.067162478,0.968518593,0.002603619,0.00548537
310,0.07983314,0.038506323,0.534015318,0.001828012,0.007002108
311,0.729819754,0.044159909,0.510749765,0.00124098,0.008146476
312,0.97591457,0.085577583,0.742186796,0.000897632,0.010034059
313,0.848368808,0.165829343,1.077399585,0.000743372,0.013560887
314,0.600400245,0.295596373,1.460938471,0.000740693,0.019771171
315,0.188030166,0.398573734,1.580066878,0.00087611,0.030087678
316,0.019162534,0.260556021,0.948734687,0.001015572,0.043929223
317,0.034555101,0.138275351,0.47154445,0.000957317,0.055263782
318,0.427160406,0.114880046,0.327554977,0.000785784,0.059957263
319,1.000580628,0.209832946,0.425209938,0.000692821,0.064872246
320,0.913649108,0.41445499,0.588698505,0.000762744,0.075982938
321,0.680217618,0.766662187,0.771381356,0.001083137,0.096046612
322,0.228811055,1.113512379,0.823256894,0.001879276,0.127255645
323,0.013470563,0.736041259,0.448135983,0.003266104,0.15866311
324,0.0185273,0.371103083,0.181580699,0.004484115,0.162207269
325,0.262707139,0.253610692,0.090668412,0.004884896,0.139779957
326,0.991788963,0.424324426,0.095457945,0.005495343,0.11490215
327,0.908705985,0.832550765,0.1190329,0.007947804,0.096779984
328,0.581098848,1.492357757,0.142576,0.014581055,0.084250771
329,0.050292091,1.630616427,0.117604367,0.030418488,0.073994866
330,0.003988048,0.796437615,0.052482231,0.056305464,0.060082288
331,0.017035501,0.352786926,0.023223204,0.077821383,0.04528798
332,0.398339787,0.224337011,0.014774788,0.081638489,0.033022447
333,1.067850502,0.34966371,0.019690407,0.08705475,0.024044246
334,1.01112438,0.603679595,0.028696078,0.113669086,0.017744883
335,0.858876651,0.989686491,0.041047798,0.182420598,0.013351867
336,0.602474527,1.400836589,0.055040897,0.341876838,0.010284199
337,0.316020784,1.343974451,0.062377045,0.679856151,0.008076393
338,0.499660692,0.595024129,0.063737347,1.179072765,0.006366823
339,1.109614672,0.073674365,0.089618738,1.226725954,0.005116362
340,1.164693048,0.007052833,0.13806321,0.804942648,0.004339077
341,1.150787827,0.001945665,0.213337645,0.493826691,0.003965796
342,1.123814962,0.001168834,0.32852601,0.300836591,0.003973415
343,1.080639721,0.00113076,0.502321918,0.183072577,0.004414474
344,1.011878533,0.001447598,0.75824926,0.111459365,0.005450078
345,0.901325053,0.002155342,1.118023248,0.067967962,0.007414295
346,0.72029153,0.003379847,1.573510459,0.041573038,0.010924162
347,0.42071386,0.004927041,1.978691881,0.025544568,0.017013463
348,0.083537026,0.004797539,1.739252732,0.01574459,0.026877138
349,0.029570141,0.00272785,0.965167177,0.009661158,0.039470949
350,0.155029449,0.001731341,0.566768114,0.005897922,0.050590301
351,0.887462334,0.002450329,0.618175376,0.003598561,0.060989684
352,0.9706082,0.004798549,0.867265332,0.002206406,0.078505405
353,0.864381555,0.009271303,1.194516851,0.001367,0.109293043
354,0.700197869,0.016945213,1.554630365,0.000862701,0.161965973
355,0.471404002,0.027598981,1.804516286,0.000559837,0.249920968
356,0.238903282,0.035298558,1.644331338,0.00037393,0.388543566
357,0.220927719,0.035389383,1.089803544,0.000252131,0.574992651
358,0.713774195,0.048345642,0.730626966,0.000171955,0.773512619
359,1.01257088,0.093141702,0.477882212,0.000126098,0.949523216
360,1.074712179,0.188918443,0.216327374,0.000107243,1.005727687
361,1.065788689,0.386507228,0.07132957,0.000114266,0.873383945
362,0.958070718,0.777203748,0.025492872,0.00016007,0.667410368
363,0.676589847,1.456032992,0.011774521,0.000288575,0.486608772
364,0.100652856,1.895049164,0.005471563,0.000609138,0.34871552
365,0.002978478,1.008734933,0.001566354,0.001204572,0.247275366
366,0.005204166,0.484364435,0.000491308,0.001853761,0.174554698
367,0.087704363,0.263351525,0.000193086,0.002168183,0.123068961
368,0.913501828,0.344055319,0.000167314,0.002322803,0.086743964
369,0.995181795,0.686348207,0.000216471,0.003097265,0.061143503
370,0.756270122,1.311458227,0.000282732,0.005358509,0.043103594
371,0.208232863,1.948096037,0.000311655,0.011115648,0.030389801
372,0.004333368,1.153685027,0.000169178,0.022735157,0.021423352
373,0.004282885,0.534794749,7.82E-05,0.036622382,0.015098545
374,0.06275805,0.261028957,3.93E-05,0.043777396,0.010639662
375,0.866298256,0.283997005,3.83E-05,0.045064879,0.00749727
376,1.043878352,0.523205253,5.69E-05,0.054783835,0.005283092
377,0.899097053,0.950594656,8.40E-05,0.084781047,0.003723004
378,0.593110179,1.545744618,0.000115472,0.160129224,0.002623767
379,0.117170008,1.613872247,0.000117498,0.333848477,0.00184917
380,0.03982015,0.601564336,6.82E-05,0.597941321,0.001303173
381,0.609584829,0.144925249,5.42E-05,0.655845674,0.000918323
382,1.169637228,0.058861692,8.08E-05,0.509710511,0.000647139
383,1.188301052,0.035263527,0.000126071,0.352242382,0.000456069
384,1.190510379,0.031119968,0.000197119,0.235332145,0.000321451
385,1.189340429,0.03673642,0.0003083,0.157653077,0.000226609
386,1.185160014,0.052659596,0.000482014,0.108701757,0.000159795
387,1.176308506,0.085329988,0.000752728,0.079639242,0.000112731
388,1.158816885,0.148703215,0.001172492,0.06487143,7.96E-05
389,1.12463495,0.268831686,0.001816805,0.062222326,5.62E-05
390,1.057951012,0.489028484,0.002784781,0.074011814,3.98E-05
391,0.928242609,0.863567825,0.004168627,0.110957299,2.82E-05
392,0.679660656,1.38437504,0.00588816,0.202298738,2.01E-05
393,0.27224953,1.633281951,0.006926573,0.41273327,1.44E-05
394,0.101264582,0.799354663,0.005255621,0.782961307,1.02E-05
395,0.784436483,0.174926943,0.005044392,0.958702975,7.29E-06
396,1.178682383,0.033763659,0.0076727,0.728329785,5.20E-06
397,1.193074592,0.011508271,0.012003647,0.468910548,3.73E-06
398,1.193449916,0.007499503,0.018797297,0.292458411,2.71E-06
399,1.191243423,0.007607306,0.029429647,0.181496386,2.00E-06
400,1.186907975,0.010190341,0.046045945,0.11310331,1.51E-06
401,1.179500454,0.016190086,0.071959763,0.071382493,1.18E-06
402,1.167018531,0.02850473,0.112232861,0.046252094,9.74E-07
403,1.145761542,0.053258637,0.174442943,0.031521557,8.57E-07
404,1.108850598,0.102571203,0.269481217,0.02353831,8.22E-07
405,1.043100398,0.19902583,0.411576717,0.020427957,8.70E-07
406,0.921981517,0.379412934,0.614288191,0.021911186,1.02E-06
407,0.688073667,0.677902287,0.868300102,0.029839702,1.31E-06
408,0.241991662,0.953030778,1.017927617,0.049189278,1.81E-06
409,0.014722389,0.596818927,0.642170709,0.080148033,2.42E-06
410,0.019473763,0.257931078,0.322256683,0.098617781,2.76E-06
411,0.284148525,0.144615449,0.209284878,0.091742175,2.72E-06
412,1.021435406,0.202743359,0.278810951,0.082624878,2.65E-06
413,0.989056768,0.342659965,0.419982587,0.087131625,2.82E-06
414,0.839577958,0.564541556,0.614832222,0.111961225,3.32E-06
415,0.57237634,0.83040866,0.834547395,0.172112159,4.26E-06
416,0.185379932,0.84019186,0.893521726,0.2896511,5.76E-06
417,0.059563126,0.356696113,0.595461298,0.416865006,7.46E-06
418,0.334853393,0.111973854,0.438693172,0.398101295,8.67E-06
419,0.97327221,0.074392945,0.586627464,0.306167675,1.01E-05
420,0.947882415,0.070299713,0.873147559,0.226610389,1.30E-05
421,0.811406218,0.077943461,1.264163717,0.168647775,1.82E-05
422,0.57792829,0.091350881,1.706685213,0.12891011,2.73E-05
423,0.216808866,0.091393552,1.879579232,0.100747867,4.28E-05
424,0.033259737,0.051669231,1.247346959,0.074896207,6.53E-05
425,0.051968461,0.024424472,0.68407232,0.050551918,8.86E-05
426,0.479950217,0.019721723,0.548799365,0.032627954,0.000107525
427,0.964928486,0.033448971,0.768988547,0.021374836,0.000133875
428,0.872406576,0.0618987,1.129234241,0.014838557,0.000182621
429,0.660939228,0.10893588,1.571582573,0.011314479,0.000269392
430,0.300153833,0.158919805,1.868328386,0.009656216,0.000418014
431,0.034570236,0.125016492,1.35079085,0.008487956,0.000643355
432,0.026419779,0.066207107,0.710289495,0.006606594,0.000887122
